"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"CP_Radial_D8.0mm_P3.50mm";1;"470uf";;;
2;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"0";;;
3;"C2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10nf";;;
4;"HS1";"Heatsink_Stonecold_HS-S01_13.21x6.35mm";1;"Heatsink";;;
5;"U2";"MODULE_TMC2209_SILENTSTEPSTICK";1;"TMC2209_SILENTSTEPSTICK";;;
6;"U1";"TO-220-3_Vertical";1;"LM317_TO-220";;;
7;"SW1";"PinHeader_1x03_P2.54mm_Vertical";1;"SW_SPDT";;;
8;"RUN_STOP1,CW_CCW1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";2;"SW_Push";;;
9;"RotaryEncoder1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
10;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330";;;
11;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200";;;
12;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22";;;
13;"PowerIn1";"TerminalBlock_bornier-2_P5.08mm";1;"Terminal2Pin";;;
14;"OLED1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
15;"Debug1";"PinHeader_1x03_P2.54mm_Vertical";1;"Pin_01x03";;;
16;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N5817";;;
17;"StepperOut1";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"JST-4P";;;
18;"STC8H8K64U1";"DIP-28_W7.62mm_Socket_LongPads";1;"DIP28";;;
